Subgroup,Alfanumeric code,Parameter,Units,Analysis method code,Analysis method
Biota,2DDT,"p,p-DDT",µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C101,PCB101,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C105,PCB105,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C118,PCB118,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C138,PCB138,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C153,PCB153,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C156,PCB156,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C180,PCB180,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C28,PCB28,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,1C52,PCB52,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA1,Phenanthrene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,2DDD,p-p' DDD,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,2DDE,p-p' DDE,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA2,Pyrene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,Zn,Zinc,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
Fish,N,Number of individuals,Ind,GEN,Generic
Invertebrates,Abudens,Abundance (density),Ind/m2,CAL,Calculation
Macroalgae,%Cover,Coverage,%,GEN,Generic
Phytoplankton,Cel,Abundance,cel/ml,UTERMÖHL,microscopy
Sediments,3PA13,Acenaftene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA12,Acenaftilene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,ALD,Aldrin,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,aHCH,alfa-HCH,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA15,Anthracene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA7,Benzo(a)anthracene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA9,Benzo(a)pyrene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA8,Benzo(b)fluoranthene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA4,Benzo(e)pyrene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA5,"Benzo(g,h,i)perylene",µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA16,Benzo(k)fluoranthene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,bHCH,beta-HCH,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,Cd,Cadmium,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,Cr,Chromium,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,3PA3,Chrysene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,Cu,Copper,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,dHCH,delta-HCH,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA17,"Dibenzo(a,h)anthracene",µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,DIEL,Dieldrin,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,eHCH,Epsilon-HCH,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA6,Fluoranthene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA14,Fluorene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,gHCH,Gamma-HCH,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,%G,Gravel,%,GRA,Gravimetry
Sediments,HCB,Hexachlorobenzene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA10,"Indeno(1,2,3-cd)pyrene",µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,FE,Iron,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,ISO,Isodrin,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,Pb,Lead,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,Mn,Manganese,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,Hg,Mercury,mg/kg DW,EAA,Atomic absorption spectrometry
Sediments,%L,Mud,%,GRA,Gravimetry
Sediments,3PA11,Naftalene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,Ni,Nickel,mg/kg DW,ICP-MS,Inductive coupled plasma mass spectrometry
Sediments,%MO,Organic matter,%,GRA,Gravimetry
Sediments,2DDT,"p,p-DDT",µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C101,PCB101,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C105,PCB105,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C118,PCB118,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C138,PCB138,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C153,PCB153,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C156,PCB156,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C180,PCB180,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C28,PCB28,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,1C52,PCB52,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA18,Perylene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,3PA1,Phenanthrene,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
Sediments,2DDD,p-p' DDD,µg/kg DW,GC-MS,Gas Chromatography with mass spectrometry
